7,13,16,4,15,4,13
859,1642,2369,1272,2242,1156,2255
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 13,i:1 13,i:1 13,i:1 13,i:1 13,i:1 13,i:1 13
i:2 25,i:2 24,i:2 29,i:2 29,i:2 25,i:2 25,i:2 33
i:3 44,i:3 45,i:3 71,i:3 73,i:3 56,i:3 54,i:3 86
i:4 64,i:4 84,i:4 170,i:4 153,i:4 125,i:4 108,i:4 203
i:5 99,i:5 148,i:5 342,i:5 247,i:5 249,i:5 181,i:5 383
i:6 160,i:6 247,i:6 534,i:6 287,i:6 432,i:6 247,i:6 552
i:7 213,i:7 366,i:7 611,i:7 245,i:7 580,i:7 232,i:7 555
i:8 176,i:8 408,i:8 439,i:8 162,i:8 510,i:8 180,i:8 332
i:9 64,i:9 261,i:9 149,i:9 60,i:9 225,i:9 102,i:9 92
i:10 0,i:10 45,i:10 10,i:10 2,i:10 26,i:10 13,i:10 5
i:11 0,i:11 0,i:11 0,i:11 0,i:11 0,i:11 0,i:11 0
i:12 0,i:12 0,i:12 0,i:12 0,i:12 0,i:12 0,i:12 0
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

