191,275,251,158,227,320,285
26222,34016,33530,30860,37414,43639,35945
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 18,i:1 18,i:1 18,i:1 18,i:1 18,i:1 18,i:1 18
i:2 59,i:2 60,i:2 52,i:2 60,i:2 57,i:2 54,i:2 58
i:3 217,i:3 223,i:3 166,i:3 225,i:3 206,i:3 178,i:3 205
i:4 762,i:4 798,i:4 529,i:4 783,i:4 703,i:4 580,i:4 693
i:5 2284,i:5 2483,i:5 1521,i:5 2288,i:5 2080,i:5 1747,i:5 2071
i:6 5114,i:6 6034,i:6 3712,i:6 5162,i:6 4989,i:6 4580,i:6 5089
i:7 7489,i:7 9956,i:7 7243,i:7 8192,i:7 9026,i:7 9552,i:7 9383
i:8 6432,i:8 9545,i:8 10228,i:8 8627,i:8 11110,i:8 13645,i:8 10923
i:9 3400,i:9 4335,i:9 8165,i:9 4694,i:9 7574,i:9 10483,i:9 6271
i:10 439,i:10 559,i:10 1806,i:10 772,i:10 1556,i:10 2648,i:10 1191
i:11 7,i:11 4,i:11 89,i:11 38,i:11 93,i:11 151,i:11 42
i:12 0,i:12 0,i:12 0,i:12 0,i:12 1,i:12 2,i:12 0
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0
i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0
i:16 0,i:16 0,i:16 0,i:16 0,i:16 0,i:16 0,i:16 0
i:17 0,i:17 0,i:17 0,i:17 0,i:17 0,i:17 0,i:17 0
i:18 0,i:18 0,i:18 0,i:18 0,i:18 0,i:18 0,i:18 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

