0,0,0,0,0,0,0,0,0,0
165,138,105,153,165,52,72,165,52,138
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
18,13,14,14,18,9,10,18,9,13
27,18,17,21,27,8,11,27,8,18
31,23,17,29,31,7,11,31,7,23
31,27,16,31,31,6,10,31,6,27
26,25,15,26,26,5,9,26,5,25
16,16,11,16,16,4,7,16,4,16
6,6,5,6,6,3,4,6,3,6
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

