0,0,0,0,0,0,0,0,0,0
70,258,72,153,219,229,384,102,70,229
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
11,23,10,15,17,19,29,12,11,19
11,42,11,22,29,33,63,15,11,33
10,56,11,28,43,46,91,17,10,46
9,56,10,30,50,51,91,17,9,51
8,42,9,26,41,41,63,15,8,41
7,22,7,16,22,22,29,11,7,22
4,7,4,6,7,7,8,5,4,7
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

