0,0,0,0,0,0,0,0,0,0
105,102,102,229,102,102,153,102,102,72
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
14,12,11,19,12,11,15,12,12,10
17,15,14,33,15,14,22,15,15,11
17,17,17,46,17,17,28,17,17,11
16,17,18,51,17,18,30,17,17,10
15,15,16,41,15,16,26,15,15,9
11,11,11,22,11,11,16,11,11,7
5,5,5,7,5,5,6,5,5,4
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

0,0,0,0,0,0,0,0,0,0
153,294,52,52,153,72,102,153,52,165
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
15,21,9,9,14,10,11,15,9,18
22,39,8,8,21,11,14,22,8,27
28,61,7,7,29,11,17,28,7,31
30,71,6,6,31,10,18,30,6,31
26,56,5,5,26,9,16,26,5,26
16,28,4,4,16,7,11,16,4,16
6,8,3,3,6,4,5,6,3,6
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

0,0,0,0,0,0,0,0,0,0
165,153,72,102,102,105,102,153,72,70
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
18,15,10,12,12,14,11,14,10,11
27,22,11,15,15,17,14,21,11,11
31,28,11,17,17,17,17,29,11,10
31,30,10,17,17,16,18,31,10,9
26,26,9,15,15,15,16,26,9,8
16,16,7,11,11,11,11,16,7,7
6,6,4,5,5,5,5,6,4,4
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

0,0,0,0,0,0,0,0,0,0
153,153,105,52,72,105,72,102,102,52
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
15,14,14,9,10,14,10,12,12,9
22,21,17,8,11,17,11,15,15,8
28,29,17,7,11,17,11,17,17,7
30,31,16,6,10,16,10,17,17,6
26,26,15,5,9,15,9,15,15,5
16,16,11,4,7,11,7,11,11,4
6,6,5,3,4,5,4,5,5,3
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

0,0,0,0,0,0,0,0,0,0
153,102,52,165,105,102,70,229,153,165
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
15,12,9,18,14,12,11,19,15,18
22,15,8,27,17,15,11,33,22,27
28,17,7,31,17,17,10,46,28,31
30,17,6,31,16,17,9,51,30,31
26,15,5,26,15,15,8,41,26,26
16,11,4,16,11,11,7,22,16,16
6,5,3,6,5,5,4,7,6,6
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

0,0,0,0,0,0,0,0,0,0
72,153,72,102,102,153,52,105,102,70
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
10,15,10,12,12,15,9,14,12,11
11,22,11,15,15,22,8,17,15,11
11,28,11,17,17,28,7,17,17,10
10,30,10,17,17,30,6,16,17,9
9,26,9,15,15,26,5,15,15,8
7,16,7,11,11,16,4,11,11,7
4,6,4,5,5,6,3,5,5,4
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

0,0,0,0,0,0,0,0,0,0
153,153,72,165,138,153,102,72,72,72
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
15,15,10,18,13,15,11,10,10,10
