0,0,0,0,0,0,0
357,172,494,494,491,194,219
10,10,10,10,10,10,10
0,0,0,0,0,0,0
10,10,10,10,10,10,10
19,14,23,23,23,14,14
34,21,44,44,50,20,24
54,28,88,88,94,26,35
75,30,134,134,130,32,44
81,28,123,123,115,37,42
57,23,60,60,57,33,31
23,14,12,12,12,18,15
4,4,0,0,0,4,4
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

0,0,0,0,0,0,0
2894,3430,511,2148,511,2793,2602
13,13,9,13,9,13,13
0,0,0,0,0,0,0
13,13,9,13,9,13,13
33,41,36,27,36,31,28
90,110,84,65,84,80,67
224,305,126,146,126,201,155
467,672,126,282,126,430,318
731,968,84,441,84,740,544
756,841,36,540,36,806,680
448,400,9,440,9,423,540
124,80,1,176,1,69,225
8,0,,18,,0,32
0,0,,0,,0,0
0,0,,0,,0,0
0,0,,0,,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

1,1,0,1,0,1,1
9320,10588,511,9546,511,8958,10345
15,15,9,15,9,15,15
0,0,0,0,0,0,0
15,15,9,15,9,15,15
40,56,36,36,36,35,40
122,182,84,99,84,96,109
351,609,126,266,126,256,306
873,1617,126,650,126,616,752
1741,2835,84,1372,84,1255,1623
2526,3033,36,2279,36,2020,2712
2338,1793,9,2631,9,2413,2876
1118,448,1,1718,1,1711,1592
188,0,,444,,484,320
8,0,,36,,56,0
0,0,,0,,1,0
0,0,,0,,0,0
0,0,,0,,0,0
0,0,,0,,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

5,0,1,0,0,5,5
52274,511,18006,511,511,52885,49727
18,9,16,9,9,18,18
0,0,0,0,0,0,0
18,9,16,9,9,18,18
54,36,64,36,36,53,62
191,84,224,84,84,186,231
657,126,812,126,126,635,865
2038,126,2352,126,126,1964,2778
5362,84,4536,84,84,5161,7298
11029,36,5392,36,36,10656,13558
15829,9,3586,9,9,15720,15017
12744,1,1024,1,1,13356,8280
3968,,0,,,4560,1620
384,,0,,,570,0
0,,0,,,6,0
0,,0,,,0,0
0,,0,,,0,0
0,,0,,,0,0
0,,0,,,0,0
0,,,,,0,0
0,,,,,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

25,20,23,0,21,0,23
151104,150607,151104,511,150607,511,146616
20,20,20,9,20,9,20
0,0,0,0,0,0,0
20,20,20,9,20,9,20
67,64,67,36,64,36,67
268,253,268,84,253,84,270
1050,966,1050,126,966,126,1063
3734,3411,3734,126,3411,126,3800
11289,10254,11289,84,10254,84,11471
26780,24718,26780,36,24718,36,26944
44980,42773,44980,9,42773,9,44117
43320,45178,43320,1,45178,1,40872
17136,19542,17136,,19542,,15760
2436,3304,2436,,3304,,2208
24,124,24,,124,,24
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

79,0,84,76,30,0,83
649593,511,649593,649593,227146,511,649593
23,9,23,23,21,9,23
0,0,0,0,0,0,0
23,9,23,23,21,9,23
88,36,88,88,84,36,88
406,84,406,406,364,84,406
1855,126,1855,1855,1617,126,1855
7809,126,7809,7809,6258,126,7809
28443,84,28443,28443,20391,84,28443
82841,36,82841,82841,49080,36,82841
175088,9,175088,175088,73920,9,175088
217440,1,217440,217440,58401,1,217440
113400,,113400,113400,17010,,113400
21840,,21840,21840,0,,21840
360,,360,360,0,,360
0,,0,0,0,,0
0,,0,0,0,,0
0,,0,0,0,,0
0,,0,0,0,,0
0,,0,0,0,,0
0,,0,0,0,,0
0,,0,0,0,,0
0,,0,0,0,,0
