2,2,3,2,2,2,2
20229,20758,19630,19989,18762,20232,19275
0,0,0,0,0,0,0
17,17,17,17,17,17,17
53,49,49,53,55,56,57
181,159,161,183,199,206,211
578,501,504,586,650,677,684
1599,1415,1374,1599,1732,1824,1792
3518,3270,3050,3475,3539,3797,3617
5625,5637,5084,5525,5200,5706,5313
5784,6293,5846,5674,4959,5467,5105
2858,3350,3474,2846,2401,2458,2460
16,67,71,31,10,24,19
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

2,2,2,2,2,2,2
20229,20758,19630,19989,18762,20232,19275
0,0,0,0,0,0,0
17,17,17,17,17,17,17
53,49,49,53,55,56,57
181,159,161,183,199,206,211
578,501,504,586,650,677,684
1599,1415,1374,1599,1732,1824,1792
3518,3270,3050,3475,3539,3797,3617
5625,5637,5084,5525,5200,5706,5313
5784,6293,5846,5674,4959,5467,5105
2858,3350,3474,2846,2401,2458,2460
16,67,71,31,10,24,19
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

0,0,0,0,0,0,0
1765,1839,1978,1862,1882,2170,1929
0,0,0,0,0,0,0
13,13,13,13,13,13,13
33,36,34,34,34,38,36
86,103,93,94,94,113,106
210,254,233,230,234,297,263
418,477,484,457,461,594,499
582,587,680,615,623,731,618
422,368,441,417,422,384,393
1,1,0,2,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

0,0,0,0,0,0,0
1765,1839,1978,1862,1882,2170,1929
0,0,0,0,0,0,0
13,13,13,13,13,13,13
33,36,34,34,34,38,36
86,103,93,94,94,113,106
210,254,233,230,234,297,263
418,477,484,457,461,594,499
582,587,680,615,623,731,618
422,368,441,417,422,384,393
1,1,0,2,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

0,0,0,0,0,0,0
5559,6154,6314,5563,6741,6451,6170
0,0,0,0,0,0,0
15,15,15,15,15,15,15
38,38,42,41,50,44,45
104,107,124,124,172,139,143
280,294,353,341,516,403,409
666,709,880,774,1209,973,962
1283,1375,1682,1359,1979,1753,1676
1790,1970,2049,1734,1948,2034,1883
1358,1600,1167,1165,852,1086,1035
25,46,2,10,0,4,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

0,0,0,0,0,0,0
5559,6154,6314,5563,6741,6451,6170
0,0,0,0,0,0,0
15,15,15,15,15,15,15
38,38,42,41,50,44,45
104,107,124,124,172,139,143
280,294,353,341,516,403,409
666,709,880,774,1209,973,962
1283,1375,1682,1359,1979,1753,1676
1790,1970,2049,1734,1948,2034,1883
1358,1600,1167,1165,852,1086,1035
25,46,2,10,0,4,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

