0,0,0,0,0,0,0,0,0,0
45,96,61,55,61,45,45,45,96,66
0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7
9,16,10,9,10,8,8,9,16,12
9,25,13,11,13,9,9,9,25,15
8,25,14,12,14,9,9,8,25,15
7,16,11,10,11,7,7,7,16,11
4,6,5,5,5,4,4,4,6,5
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

