20 70,20 70,20 70,20 70,20 70,20 70,20 70
n:20,n:20,n:20,n:20,n:20,n:20,n:20
elapsed time = 107 msec.,elapsed time = 104 msec.,elapsed time = 103 msec.,elapsed time = 106 msec.,elapsed time = 104 msec.,elapsed time = 107 msec.,elapsed time = 113 msec.
1048576,1048576,1048576,1048576,1048576,1048576,1048576
1,1,1,1,1,1,1
20,20,20,20,20,20,20
190,190,190,190,190,190,190
1140,1140,1140,1140,1140,1140,1140
4845,4845,4845,4845,4845,4845,4845
15504,15504,15504,15504,15504,15504,15504
38760,38760,38760,38760,38760,38760,38760
77520,77520,77520,77520,77520,77520,77520
125970,125970,125970,125970,125970,125970,125970
167960,167960,167960,167960,167960,167960,167960
184756,184756,184756,184756,184756,184756,184756
167960,167960,167960,167960,167960,167960,167960
125970,125970,125970,125970,125970,125970,125970
77520,77520,77520,77520,77520,77520,77520
38760,38760,38760,38760,38760,38760,38760
15504,15504,15504,15504,15504,15504,15504
4845,4845,4845,4845,4845,4845,4845
1140,1140,1140,1140,1140,1140,1140
190,190,190,190,190,190,190
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

