30 60,30 60,30 60,30 60,30 60,
n:30,n:30,n:30,n:30,n:30,
elapsed time = 113289 msec.,elapsed time = 111576 msec.,elapsed time = 113329 msec.,elapsed time = 110707 msec.,elapsed time = 110497 msec.,
1073741824,1073741824,1073741824,1073741824,1073741824,
1,1,1,1,1,
30,30,30,30,30,
435,435,435,435,435,
4060,4060,4060,4060,4060,
27405,27405,27405,27405,27405,
142506,142506,142506,142506,142506,
593775,593775,593775,593775,593775,
2035800,2035800,2035800,2035800,2035800,
5852925,5852925,5852925,5852925,5852925,
14307150,14307150,14307150,14307150,14307150,
30045015,30045015,30045015,30045015,30045015,
54627300,54627300,54627300,54627300,54627300,
86493225,86493225,86493225,86493225,86493225,
119759850,119759850,119759850,119759850,119759850,
145422675,145422675,145422675,145422675,145422675,
155117520,155117520,155117520,155117520,155117520,
145422675,145422675,145422675,145422675,145422675,
119759850,119759850,119759850,119759850,119759850,
86493225,86493225,86493225,86493225,86493225,
54627300,54627300,54627300,54627300,54627300,
30045015,30045015,30045015,30045015,30045015,
14307150,14307150,14307150,14307150,14307150,
5852925,5852925,5852925,5852925,5852925,
2035800,2035800,2035800,2035800,2035800,
593775,593775,593775,593775,593775,
142506,142506,142506,142506,142506,
27405,27405,27405,27405,27405,
4060,4060,4060,4060,4060,
435,435,435,435,435,
30,30,30,30,30,
1,1,1,1,1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

