20 40,20 40,20 40,20 40,20 40,20 40,20 40
n:20,n:20,n:20,n:20,n:20,n:20,n:20
91,86,84,84,86,82,104
1048576,1048576,1048576,1048576,1048576,1048576,1048576
1,1,1,1,1,1,1
20,20,20,20,20,20,20
190,190,190,190,190,190,190
1140,1140,1140,1140,1140,1140,1140
4845,4845,4845,4845,4845,4845,4845
15504,15504,15504,15504,15504,15504,15504
38760,38760,38760,38760,38760,38760,38760
77520,77520,77520,77520,77520,77520,77520
125970,125970,125970,125970,125970,125970,125970
167960,167960,167960,167960,167960,167960,167960
184756,184756,184756,184756,184756,184756,184756
167960,167960,167960,167960,167960,167960,167960
125970,125970,125970,125970,125970,125970,125970
77520,77520,77520,77520,77520,77520,77520
38760,38760,38760,38760,38760,38760,38760
15504,15504,15504,15504,15504,15504,15504
4845,4845,4845,4845,4845,4845,4845
1140,1140,1140,1140,1140,1140,1140
190,190,190,190,190,190,190
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25 50,25 50,25 50,25 50,25 50,25 50,25 50
n:25,n:25,n:25,n:25,n:25,n:25,n:25
3148,3197,3209,3198,3231,3095,3184
33554432,33554432,33554432,33554432,33554432,33554432,33554432
1,1,1,1,1,1,1
25,25,25,25,25,25,25
300,300,300,300,300,300,300
2300,2300,2300,2300,2300,2300,2300
12650,12650,12650,12650,12650,12650,12650
53130,53130,53130,53130,53130,53130,53130
177100,177100,177100,177100,177100,177100,177100
480700,480700,480700,480700,480700,480700,480700
1081575,1081575,1081575,1081575,1081575,1081575,1081575
2042975,2042975,2042975,2042975,2042975,2042975,2042975
3268760,3268760,3268760,3268760,3268760,3268760,3268760
4457400,4457400,4457400,4457400,4457400,4457400,4457400
5200300,5200300,5200300,5200300,5200300,5200300,5200300
5200300,5200300,5200300,5200300,5200300,5200300,5200300
4457400,4457400,4457400,4457400,4457400,4457400,4457400
3268760,3268760,3268760,3268760,3268760,3268760,3268760
2042975,2042975,2042975,2042975,2042975,2042975,2042975
1081575,1081575,1081575,1081575,1081575,1081575,1081575
480700,480700,480700,480700,480700,480700,480700
177100,177100,177100,177100,177100,177100,177100
53130,53130,53130,53130,53130,53130,53130
12650,12650,12650,12650,12650,12650,12650
2300,2300,2300,2300,2300,2300,2300
300,300,300,300,300,300,300
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30 60,30 60,30 60,30 60,30 60,,
n:30,n:30,n:30,n:30,n:30,,
113289,111576,113329,110707,110497,,
1073741824,1073741824,1073741824,1073741824,1073741824,,
1,1,1,1,1,,
30,30,30,30,30,,
435,435,435,435,435,,
4060,4060,4060,4060,4060,,
27405,27405,27405,27405,27405,,
142506,142506,142506,142506,142506,,
593775,593775,593775,593775,593775,,
2035800,2035800,2035800,2035800,2035800,,
5852925,5852925,5852925,5852925,5852925,,
14307150,14307150,14307150,14307150,14307150,,
30045015,30045015,30045015,30045015,30045015,,
54627300,54627300,54627300,54627300,54627300,,
86493225,86493225,86493225,86493225,86493225,,
119759850,119759850,119759850,119759850,119759850,,
145422675,145422675,145422675,145422675,145422675,,
155117520,155117520,155117520,155117520,155117520,,
145422675,145422675,145422675,145422675,145422675,,
119759850,119759850,119759850,119759850,119759850,,
86493225,86493225,86493225,86493225,86493225,,
54627300,54627300,54627300,54627300,54627300,,
30045015,30045015,30045015,30045015,30045015,,
14307150,14307150,14307150,14307150,14307150,,
5852925,5852925,5852925,5852925,5852925,,
2035800,2035800,2035800,2035800,2035800,,
593775,593775,593775,593775,593775,,
142506,142506,142506,142506,142506,,
27405,27405,27405,27405,27405,,
4060,4060,4060,4060,4060,,
435,435,435,435,435,,
30,30,30,30,30,,
1,1,1,1,1,,
