30 0,30 0,30 0,30 0,30 0,30 0,30 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:30,n:30,n:30,n:30,n:30,n:30,n:30
dominated:3 6 7 2 4 6 7 5 3 5 8 6 3 6 5 5 5 8 5 4 4 6 5 3 5 5 4 6 4 5 ,dominated:5 4 4 5 5 5 4 5 2 6 6 5 5 3 7 4 3 6 4 9 5 5 4 5 6 5 5 7 7 4 ,dominated:7 3 5 7 6 5 3 4 3 7 7 3 4 5 5 5 4 5 3 4 8 4 5 4 6 2 5 6 8 7 ,dominated:5 6 6 4 7 4 6 2 8 6 8 3 3 6 2 4 5 8 4 5 4 6 5 8 3 3 3 6 6 4 ,dominated:5 4 7 5 6 8 4 2 6 5 3 5 5 6 3 4 5 4 7 3 9 7 4 4 5 4 4 6 3 7 ,dominated:6 8 5 3 5 2 6 8 9 3 5 4 7 4 7 3 6 5 2 3 4 10 3 2 4 4 5 5 5 7 ,dominated:5 4 6 7 4 2 5 4 3 4 6 6 5 6 3 5 3 8 9 9 8 5 3 5 3 6 7 2 5 2 
6838,7648,6963,6179,6924,4913,4765
322256717,347248415,277218625,263874887,298682471,181482555,197714405
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
81,5,0,44,4,4,0
1903,554,101,1762,394,136,64
25323,15314,4632,25322,10487,2681,2364
209177,177736,71849,198678,121727,30858,35565
1140055,1142861,555175,1005821,796170,222713,284686
4328308,4682230,2594152,3589600,3358241,1078220,1403191
11975723,13332156,8192855,9539947,9920285,3688812,4688702
25065516,28018516,18771341,19596396,21701205,9297131,11355941
40918882,45379882,32737343,31957132,36591778,17856340,20899472
53395957,58453501,44951487,42204889,48974664,26857372,30227424
56772828,61259247,49776446,45813760,53158884,32319301,35190933
49891525,53081478,45208393,41315772,47520036,31623540,33535691
36600947,38442738,34062666,31176281,35352078,25451238,26452915
22550124,23417511,21438514,19760994,22025025,16972437,17384735
11694747,12026872,11304217,10529120,11520469,9410790,9542864
5098012,5200242,4989425,4704297,5053269,4337330,4369609
1857973,1882734,1834604,1751806,1849385,1654490,1660303
560484,565037,556729,538108,559322,517686,518412
137742,138340,137318,134182,137643,130907,130963
26916,26966,26886,26513,26912,26135,26137
4028,4030,4027,3999,4028,3971,3971
434,434,434,433,434,432,432
30,30,30,30,30,30,30
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

