20 0,20 0,20 0,20 0,20 0,20 0,20 0
n:20,n:20,n:20,n:20,n:20,n:20,n:20
1815816,1840642,1857617,1772918,1789075,1814780,1818981
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,64,64,64,64,64
128,128,128,128,128,128,128
256,256,256,256,256,256,256
512,512,512,512,512,512,512
1024,1024,1020,1024,1024,1024,1024
2048,2048,2040,1984,2048,2048,1984
4088,4006,4080,3968,3968,4088,3968
8176,8012,8160,7936,7936,8176,7936
16228,16024,16320,15872,15872,15844,15872
31510,32000,32578,31632,30336,31688,31632
62605,61768,64649,61368,60312,62098,63124
121812,122833,127103,118137,117308,120465,120741
236296,237592,241296,228888,233481,234700,238266
452337,461745,465007,445517,449506,453307,457710
878669,892567,894341,855569,866261,880319,875701
,,,,,,
242,243,247,246,237,238,248
878669,892567,894341,855569,866261,880319,875701
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9,5,5,8,1,11,1
265,196,277,206,136,282,142
2764,2645,2937,2167,2080,2788,2111
13931,14488,14758,11758,12212,14037,12552
42651,44833,44841,38365,40000,42982,41214
89780,93337,93317,84261,86908,90265,89086
139714,143278,143498,134716,137431,140116,139847
168073,170535,170912,164804,166744,168278,168565
160559,161778,162093,159013,160008,160624,160975
123566,123996,124160,123048,123412,123578,123773
76978,77081,77136,76861,76952,76979,77043
38684,38699,38710,38668,38682,38684,38696
15499,15500,15501,15498,15499,15499,15500
4845,4845,4845,4845,4845,4845,4845
1140,1140,1140,1140,1140,1140,1140
190,190,190,190,190,190,190
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

25 0,25 0,25 0,25 0,25 0,25 0,25 0
n:25,n:25,n:25,n:25,n:25,n:25,n:25
54425189,54947204,55769235,55318504,55634123,57688232,54895237
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,64,64,64,64,64
128,128,128,128,128,128,128
256,256,256,256,256,256,256
512,512,512,512,512,512,512
1024,1024,1024,1024,1024,1024,1024
1984,2048,2048,2048,2048,2048,1984
3968,4064,4096,4096,4096,4096,3968
7888,8128,8192,8192,8192,8160,7934
15776,16256,16128,16384,16384,16260,15868
31552,32512,32256,32704,32768,32520,31736
63104,65024,64512,65408,65536,64092,62708
122320,130040,128964,130568,126976,124648,121544
244640,260080,253572,261136,251840,249296,242864
489280,497888,500212,502044,503586,498526,485728
963852,959460,964622,1004088,1006932,979612,971104
1843374,1918512,1903712,1944012,1984300,1953656,1890096
3572994,3695824,3688600,3724220,3800659,3850019,3735272
7044231,7053095,7366723,7152852,7239474,7471559,7038512
13537566,13685993,13986744,13772468,13883782,14690240,13767571
26480613,26616233,26846807,26696237,26705503,27741453,26516301
,,,,,,
8532,8633,9262,8668,8776,9072,9103
26480613,26616233,26846807,26696237,26705503,27741453,26516301
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
12,13,19,26,59,12,57
682,631,719,940,1218,740,1302
10404,9660,10083,11863,12588,12265,13753
73773,71305,72571,79427,79018,88578,83147
313104,311547,315713,329647,324065,370204,328892
907159,914907,927558,940780,928755,1042842,923893
1938488,1961714,1989572,1985700,1973567,2160471,1948479
3210014,3244171,3287611,3257257,3253911,3475972,3210213
4257787,4291033,4340535,4292394,4300048,4499748,4251643
4625586,4648951,4691363,4644382,4657295,4796102,4618666
