20 0,20 0,20 0,20 0,20 0,20 0,20 0
n:20,n:20,n:20,n:20,n:20,n:20,n:20
1097960,1051880,900918,1090460,954140,905950,825158
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,48,64,64,64,64,64
128,96,128,128,96,128,128
256,192,256,256,192,256,256
512,384,480,512,372,512,448
1024,768,960,1024,654,1024,896
2048,1536,1860,2048,1308,1792,1792
4096,3072,3270,4096,2398,3584,3584
7168,5952,6270,7744,4796,6720,7072
13992,11904,9578,15488,9592,13440,10656
24960,21984,19012,29288,18744,26688,19494
44573,39576,33652,55152,34844,46688,37746
78237,76284,67304,95384,69688,69444,57402
146350,145568,127352,168164,134712,113736,110922
269996,269162,215344,250314,251240,219698,207562
504493,475291,415325,460735,425377,402113,367073
,,,,,,
126,120,110,131,111,105,113
504493,475291,415325,460735,425377,402113,367073
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
21,65,17,37,28,14,25
648,855,381,682,562,352,409
5555,5694,3398,5092,4196,3095,3050
22772,21526,15108,20162,16828,13993,12714
55651,51523,40011,49201,42341,37832,33456
91395,84726,70600,81659,72828,67685,60034
108322,101277,88953,98220,90521,86061,77484
96709,91309,83528,89078,84343,81407,74610
66616,63478,59926,62312,60233,58804,54830
35757,34367,33219,33942,33299,32804,31077
14925,14468,14218,14365,14231,14116,13570
4775,4670,4637,4655,4638,4622,4503
1136,1121,1119,1120,1119,1118,1102
190,189,189,189,189,189,188
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

