20 0,20 0,20 0,20 0,20 0,20 0,20 0
n:20,n:20,n:20,n:20,n:20,n:20,n:20
1097960,1051880,900918,1090460,954140,905950,825158
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,48,64,64,64,64,64
128,96,128,128,96,128,128
256,192,256,256,192,256,256
512,384,480,512,372,512,448
1024,768,960,1024,654,1024,896
2048,1536,1860,2048,1308,1792,1792
4096,3072,3270,4096,2398,3584,3584
7168,5952,6270,7744,4796,6720,7072
13992,11904,9578,15488,9592,13440,10656
24960,21984,19012,29288,18744,26688,19494
44573,39576,33652,55152,34844,46688,37746
78237,76284,67304,95384,69688,69444,57402
146350,145568,127352,168164,134712,113736,110922
269996,269162,215344,250314,251240,219698,207562
504493,475291,415325,460735,425377,402113,367073
,,,,,,
126,120,110,131,111,105,113
504493,475291,415325,460735,425377,402113,367073
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
21,65,17,37,28,14,25
648,855,381,682,562,352,409
5555,5694,3398,5092,4196,3095,3050
22772,21526,15108,20162,16828,13993,12714
55651,51523,40011,49201,42341,37832,33456
91395,84726,70600,81659,72828,67685,60034
108322,101277,88953,98220,90521,86061,77484
96709,91309,83528,89078,84343,81407,74610
66616,63478,59926,62312,60233,58804,54830
35757,34367,33219,33942,33299,32804,31077
14925,14468,14218,14365,14231,14116,13570
4775,4670,4637,4655,4638,4622,4503
1136,1121,1119,1120,1119,1118,1102
190,189,189,189,189,189,188
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

25 0,25 0,25 0,25 0,25 0,25 0,25 0
n:25,n:25,n:25,n:25,n:25,n:25,n:25
19735590,21854695,26176370,28877975,26416642,19866124,25769056
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,56,64,64,64,64
128,128,112,128,128,96,128
256,256,224,256,248,192,256
512,448,448,512,496,384,512
768,896,868,960,936,768,1024
1536,1760,1736,1920,1872,1536,1792
3072,3520,3472,3840,3744,3072,3584
6144,6160,6944,7680,7488,6144,7168
12288,12320,13640,13440,14976,9152,14336
23040,18480,27280,26880,29952,18304,21504
41472,35232,54560,50624,44928,32032,43008
82944,70464,109120,90272,79552,64064,75264
162048,140928,215600,179008,155056,127600,146496
313088,281856,326832,334656,292072,239016,279720
547904,537210,644952,604238,567810,478032,547416
946064,779960,1254644,1200412,1135620,781916,1094832
1510768,1438034,2055412,2146226,2106234,1395704,2067048
2670008,2826397,3732970,3803960,3940858,2729824,3935352
4695244,5625464,6676440,7147199,7009728,5315292,7115962
8718179,10075055,11050997,13265637,11024817,8662869,10413527
,,,,,,
2741,2837,3644,3888,3575,2700,3602
8718179,10075055,11050997,13265637,11024817,8662869,10413527
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
41,0,3,22,12,3,6
711,105,285,855,566,250,418
6842,3450,5468,11612,8435,4120,6597
40407,34414,45527,79057,59652,31175,48386
158377,171977,209160,319071,245608,138620,207483
437327,525766,611329,851986,666444,409420,585326
889270,1098728,1243526,1621576,1289541,863856,1170583
1375908,1681265,1868297,2315378,1875015,1364357,1746833
1659333,1969673,2158210,2568705,2122158,1663950,2016149
1586976,1818728,1968988,2266897,1913662,1600193,1844586
1217520,1347712,1442907,1615137,1394807,1229979,1358983
753869,809202,857057,936313,827710,761266,812996
377027,394649,413556,442314,400299,380060,395605
151560,155652,161411,169478,156944,152425,155822
48405,49061,50369,52059,49269,48570,49080
12032,12097,12306,12555,12118,12051,12098
2249,2252,2273,2296,2253,2250,2252
298,298,299,300,298,298,298
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

30 0,30 0,30 0,30 0,30 0,30 0,30 0
n:30,n:30,n:30,n:30,n:30,n:30,n:30
718735612,790093982,652459363,575146654,667794201,460342736,487997487
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,3
8,8,8,8,8,8,6
16,16,16,16,16,16,12
32,32,32,32,32,32,24
64,64,64,64,64,64,48
128,128,120,128,128,128,96
256,256,180,256,256,256,192
512,512,360,512,512,512,384
1024,1024,720,1024,1024,1024,768
2048,1984,1440,1920,2048,2048,1536
4096,3920,2880,3840,4096,4096,3072
8192,7840,5760,6720,8192,6144,6144
16384,15680,11520,13440,16384,12288,10752
32640,31360,23040,26880,30720,24576,16128
63248,62720,46080,42240,53760,49152,27648
118590,125440,92160,84480,101280,98304,55296
237180,243968,184320,168960,202560,196608,96648
466454,477952,368640,337920,405120,368640,193296
820406,930176,691200,591360,810240,725760,377964
1514464,1752704,1339200,1132032,1620480,1266432,755928
2479673,3505408,2354400,2264064,3050496,2134656,1325788
4842701,6399648,4708800,4528128,6100992,3201984,2651576
9443447,11222368,8877600,9056256,10594816,5518368,5191340
17262995,16720366,15844320,13392896,19432784,11036736,10382680
31512459,33292066,26349768,26214144,26406376,20958336,20765360
49781958,64216377,49183622,46054752,50856832,38325984,39601168
97617684,110233388,94889258,70239992,87895024,72406176,76201336
180252229,193600155,170265223,137109696,161517483,122521846,132617886
322256717,347248415,277218625,263874887,298682471,181482555,197714405
,,,,,,
104083,123518,98723,82664,97895,73012,77869
322256717,347248415,277218625,263874887,298682471,181482555,197714405
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
81,5,0,44,4,4,0
1903,554,101,1762,394,136,64
25323,15314,4632,25322,10487,2681,2364
209177,177736,71849,198678,121727,30858,35565
1140055,1142861,555175,1005821,796170,222713,284686
4328308,4682230,2594152,3589600,3358241,1078220,1403191
11975723,13332156,8192855,9539947,9920285,3688812,4688702
25065516,28018516,18771341,19596396,21701205,9297131,11355941
40918882,45379882,32737343,31957132,36591778,17856340,20899472
53395957,58453501,44951487,42204889,48974664,26857372,30227424
56772828,61259247,49776446,45813760,53158884,32319301,35190933
49891525,53081478,45208393,41315772,47520036,31623540,33535691
36600947,38442738,34062666,31176281,35352078,25451238,26452915
22550124,23417511,21438514,19760994,22025025,16972437,17384735
11694747,12026872,11304217,10529120,11520469,9410790,9542864
5098012,5200242,4989425,4704297,5053269,4337330,4369609
1857973,1882734,1834604,1751806,1849385,1654490,1660303
560484,565037,556729,538108,559322,517686,518412
137742,138340,137318,134182,137643,130907,130963
26916,26966,26886,26513,26912,26135,26137
4028,4030,4027,3999,4028,3971,3971
434,434,434,433,434,432,432
30,30,30,30,30,30,30
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

