20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:20,n:20,n:20,n:20,n:20,n:20,n:20,n:20,n:20,n:20
dominated:2 3 3 3 4 4 4 6 7 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 4 4 4 6 7 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 4 4 5 5 5 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 3 4 5 6 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 4 4 6 8 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 4 4 4 5 8 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 7 7 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 4 4 5 7 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 3 4 4 7 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 4 4 4 6 2 2 2 2 2 2 2 
2,1,1,2,2,2,3,2,3,2
82863,82863,70875,102085,100035,90675,127809,95535,118899,99909
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0
4,4,0,1,16,4,71,2,2,0
76,76,8,47,196,80,534,61,91,20
561,561,128,491,1120,625,2343,556,849,344
2350,2350,874,2487,3937,2703,6849,2603,3854,2109
6434,6434,3406,7585,9462,7461,14326,7522,10624,7005
12345,12345,8504,15429,16387,14154,22341,14690,19705,14869
17233,17233,14376,22082,21048,19277,26545,20427,26040,21746
17850,17850,16887,22777,20360,19364,24229,20795,25226,22656
13779,13779,13971,17071,14898,14511,16945,15632,18080,17047
7856,7856,8183,9287,8178,8079,8958,8633,9555,9285
3241,3241,3376,3630,3295,3280,3494,3447,3672,3630
935,935,961,995,939,938,969,966,998,995
178,178,180,182,178,178,180,180,182,182
20,20,20,20,20,20,20,20,20,20
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

25 0,25 0,25 0,25 0,25 0,25 0,25 0,25 0,25 0,25 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:25,n:25,n:25,n:25,n:25,n:25,n:25,n:25,n:25,n:25
dominated:2 3 3 3 3 3 4 4 4 4 5 5 6 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 4 4 4 4 5 5 5 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 3 3 3 4 5 5 6 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 4 4 4 5 6 7 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 4 4 4 5 5 6 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 4 4 4 5 5 5 8 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 7 17 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 4 5 5 6 6 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 3 5 5 10 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 4 4 4 13 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
27,28,31,34,27,30,136,31,61,88
1204875,1172475,1726775,1403325,1357875,1243125,6062265,1357875,2630395,3559113
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,24,0,0,0
0,0,0,0,0,0,270,0,0,0
0,0,0,0,0,0,1901,0,1,4
0,0,0,0,0,0,9428,0,39,136
0,0,6,16,0,12,35119,13,523,1565
32,8,180,296,52,224,102226,239,3842,9909
576,260,1980,2452,852,1903,238691,2005,18305,41058
4528,2714,11856,12214,6225,9773,455063,10223,61533,121347
20816,14923,45194,41246,27016,33994,716899,35564,153229,268848
63218,51503,119141,100594,78353,85056,940381,89685,291414,460517
135648,121384,228208,183922,161871,158733,1031329,169743,431694,622007
213968,204450,327208,257911,247235,226145,946673,245974,504487,670582
253692,252705,357125,281057,285011,249642,725973,275687,468707,580881
228619,232962,299174,239278,250543,215212,462890,239675,347500,405160
157180,161643,192854,158898,168514,144983,243418,161215,205454,227157
82265,84632,95418,81683,86522,75808,104306,83313,96248,101773
32495,33273,35927,32059,33622,30321,35804,32680,35236,36007
9520,9680,10120,9399,9719,9060,9614,9540,9847,9846
2005,2024,2068,1988,2026,1949,1949,2006,2023,2005
287,288,290,286,288,284,280,287,287,285
25,25,25,25,25,25,25,25,25,25
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

30 0,30 0,30 0,30 0,30 0,30 0,30 0,30 0,30 0,30 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:30,n:30,n:30,n:30,n:30,n:30,n:30,n:30,n:30,n:30
dominated:2 3 3 3 3 3 3 3 3 4 4 4 4 5 6 7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 4 4 4 4 5 13 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 4 4 4 4 6 12 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 4 4 4 5 5 7 8 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 4 4 5 8 10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 4 4 4 5 6 6 7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 4 4 4 6 12 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 4 4 4 8 14 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 4 4 4 4 6 6 7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ,dominated:2 3 3 3 3 3 3 3 3 3 5 18 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
462,931,855,473,790,422,947,1286,463,2297
26182035,53386695,48071475,26105625,45161325,23215005,54215325,69358113,25620705,134154239
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,44
0,0,0,0,0,0,0,32,0,730
0,8,8,0,26,0,20,664,0,6940
0,300,292,16,569,4,524,6564,0,44389
40,4102,3834,376,5826,148,5945,41130,104,207516
988,31457,28459,4044,37188,1985,40494,183377,1860,745070
10318,159440,141055,26610,166321,15012,189283,619094,15682,2121851
63373,581210,507570,120712,555235,75472,651937,1644480,82951,4900063
262188,1602324,1392212,402954,1438787,273996,1726992,3525015,308531,9320081
785428,3450763,3001832,1030738,2970306,753569,3617301,6204191,856729,14762748
1779442,5933220,5192269,2075177,4973243,1617709,6102753,9073523,1840355,19624036
3135334,8266646,7303074,3348292,6836411,2763364,8396982,11113895,3127499,22002878
4375975,9426388,8427001,4381702,7777988,3802467,9499822,11455152,4264820,20867484
4894369,8851404,8019801,4684521,7358442,4245191,8880046,9954977,4706463,16753924
4414687,6865421,6310242,4105224,5798474,3856969,6873432,7290745,4219886,11374379
3217675,4400326,4104846,2947969,3801277,2849885,4404512,4486921,3074413,6509191
1891633,2325370,2201696,1727803,2064308,1705566,2330162,2308069,1813860,3122860
892106,1007763,967973,820034,921312,820575,1011689,984299,860703,1245942
334301,354740,345250,311324,333724,313801,356773,343903,324968,408737
98068,99842,98262,92881,96304,93831,100523,96746,96083,108513
22012,21916,21752,21225,21547,21416,22061,21346,21726,22774
3647,3607,3599,3575,3589,3596,3625,3545,3622,3641
420,417,417,417,417,418,418,414,419,416
30,30,30,30,30,30,30,30,30,30
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

