25 0,25 0,25 0,25 0,25 0,25 0,25 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:25,n:25,n:25,n:25,n:25,n:25,n:25
dominated:6 7 8 2 4 3 4 7 4 3 10 3 6 3 5 2 6 5 3 9 5 6 4 5 5 ,dominated:5 4 7 4 5 7 4 5 5 5 5 5 4 2 7 2 3 5 5 6 8 6 3 5 8 ,dominated:5 4 8 3 5 5 2 3 3 4 6 4 5 5 6 5 6 5 7 7 7 4 7 3 6 ,dominated:7 5 3 4 6 4 6 6 3 4 6 8 6 3 5 6 4 5 6 3 4 4 6 7 4 ,dominated:2 4 4 7 8 4 4 6 6 3 7 4 5 2 5 5 6 4 5 8 6 7 5 5 3 ,dominated:6 4 4 3 8 3 8 4 4 3 4 5 6 7 2 7 7 8 2 5 3 7 4 6 5 ,dominated:6 4 6 5 2 7 5 5 3 6 2 6 3 6 5 7 4 6 10 4 5 5 3 5 5 
235,239,309,356,228,220,267
8718179,10075055,11050997,13265637,11024817,8662869,10413527
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
41,0,3,22,12,3,6
711,105,285,855,566,250,418
6842,3450,5468,11612,8435,4120,6597
40407,34414,45527,79057,59652,31175,48386
158377,171977,209160,319071,245608,138620,207483
437327,525766,611329,851986,666444,409420,585326
889270,1098728,1243526,1621576,1289541,863856,1170583
1375908,1681265,1868297,2315378,1875015,1364357,1746833
1659333,1969673,2158210,2568705,2122158,1663950,2016149
1586976,1818728,1968988,2266897,1913662,1600193,1844586
1217520,1347712,1442907,1615137,1394807,1229979,1358983
753869,809202,857057,936313,827710,761266,812996
377027,394649,413556,442314,400299,380060,395605
151560,155652,161411,169478,156944,152425,155822
48405,49061,50369,52059,49269,48570,49080
12032,12097,12306,12555,12118,12051,12098
2249,2252,2273,2296,2253,2250,2252
298,298,299,300,298,298,298
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

